NR_CIRC,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85
1,0,149,9,0,2,0,0,3,10,0,0,0,7,9,46,22,0,0,4,0,22,0,0,0,0,0,18,0,0,0,0,0,0,17,147,0,0,0,0,1,2,0,0,11,20,0,16,0,11,0,131,6,0,21,0,0,0,0,0,47,0,3,20,0,0,48,17,0,0,0,0,15,98,0,0,0,0,0,3,0,0,0,0,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,5,50,0,3,0,0,0,5,4,0,0,0,2,2,20,457,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,3,1,0,3,4,3,0,2,8,0,5,0,7,0,63,4,0,1,0,0,0,0,0,1,3,0,2,8,7,6,11,0,0,0,0,3,53,0,0,0,3,0,4,0,0,0,,,
5,21,87,4,0,17,0,0,6,13,0,0,41,0,0,44,27,0,0,23,0,34,0,0,0,0,0,9,0,0,0,0,0,0,4,141,0,0,0,0,0,5,0,18,12,32,0,13,0,18,0,236,9,0,16,0,0,0,0,0,112,18,0,12,0,24,30,26,0,0,0,0,9,105,0,0,0,0,3,11,9,0,0,,,
6,19,137,13,0,9,0,0,29,0,0,0,0,0,41,35,57,14,0,0,0,63,0,0,0,0,0,0,0,0,0,0,26,0,29,139,0,0,0,0,0,15,0,0,0,47,0,18,0,27,0,189,14,0,0,0,0,0,0,0,61,19,46,37,0,0,46,63,0,0,0,0,20,156,0,0,0,0,0,8,25,0,0,,,
7,0,346,5,6,0,0,0,1,8,0,4,0,0,5,51,38,0,0,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,26,65,0,0,7,0,0,5,0,0,10,58,0,6,0,0,0,449,22,0,10,0,0,0,0,0,40,0,0,7,0,22,67,28,0,0,0,0,16,129,0,0,0,0,22,12,9,0,0,,,
8,0,393,7,17,0,0,23,11,14,0,0,0,0,12,75,55,10,0,8,0,18,0,0,0,0,14,35,0,0,0,0,0,0,34,136,0,39,14,0,23,13,0,0,6,93,0,0,0,0,0,160,21,0,23,0,0,22,0,0,75,0,19,0,0,0,50,68,28,0,6,0,34,296,0,0,0,0,0,18,24,0,0,,,
9,0,247,0,8,0,0,0,0,25,0,0,0,0,0,94,374,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,4,70,122,0,43,15,0,0,11,0,16,8,103,23,76,0,45,0,833,41,0,52,24,0,0,0,0,26,24,0,46,0,0,70,77,0,0,0,0,25,351,0,47,0,37,33,26,0,0,0,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,0,206,0,0,0,0,0,8,34,0,0,0,0,16,52,308,0,6,6,0,80,0,0,0,0,0,0,0,0,0,0,0,9,34,66,0,0,0,0,0,4,0,16,0,67,0,44,0,0,18,464,37,0,32,20,0,0,0,0,7,33,0,12,0,0,60,35,0,0,0,0,12,352,0,0,0,46,0,17,35,0,0,,,
13,3,53,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,15,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,94,0,0,2,0,0,0,0,0,10,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,
14,0,327,3,0,0,0,0,3,5,0,2,0,7,16,38,42,4,0,0,0,43,0,0,11,0,0,0,0,0,0,0,9,0,8,61,0,7,12,0,7,9,0,26,7,78,0,7,0,0,11,78,17,1,13,5,0,0,0,0,4,21,20,9,0,0,39,16,3,0,0,3,9,90,0,0,0,3,3,9,11,10,0,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
