NR_CIRC,P1,P2,P3,P4,P5,P6
1,72,72,59,2,21,10
2,0,0,0,0,0,0
3,62,8,3,7,1,0
4,53,6,4,2,6,0
5,108,106,88,32,33,14
6,84,71,53,11,23,11
7,35,8,1,2,9,3
8,139,140,67,22,51,16
9,276,70,30,12,34,15
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,318,55,17,17,52,22
13,4,0,1,0,1,0
14,23,22,7,4,17,5
15,0,0,0,0,0,0
16,423,153,38,26,69,27
17,342,118,60,38,46,33
18,303,76,25,16,48,8
19,414,119,25,25,74,23
20,0,0,0,0,0,0
21,24,42,13,20,19,3
22,1,3,1,0,0,0
23,138,20,5,0,24,2
24,34,10,0,4,22,4
25,185,74,42,27,76,21
26,0,0,0,0,0,0
27,34,80,56,1,20,2
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,86,63,29,7,33,7
31,0,0,0,0,0,0
32,77,97,38,5,21,6
33,38,46,29,2,8,15
34,50,22,3,3,11,4
35,542,155,28,7,86,20
36,246,299,56,36,57,24
37,0,0,0,0,0,0
38,405,78,32,29,64,25
39,85,38,10,17,42,25
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
