COD,NUME,DENP
1, ION ILIESCU,  P.D.S.R.
2, CONSTANTIN NICULESCU,  P.N.A.
3, ADRIAN PAUNESCU,  P.S.M.
4, EMIL CONSTANTINESCU,  C.D.R.
5, CONSTANTIN MUDAVA,  INDEPENDENT
6, TUDOR MOHORA,  P.S.
7, CORNELIU VADIM TUDOR,  P.R.M.
8, GYORGY FRUNDA,  U.D.M.R.
9, GHEORGHE FUNAR,  P.U.N.R.
10, NICOLAE MANOLESCU,  A.N.L.
11, PETRE ROMAN,  U.S.D.
12, IOAN POP DE POPA,  U.N.C.
13, RADU CAMPEANU,  A.N.L.ECOLOGISTA
14, NUTU ANGHELINA,  INDEPENDENT
15, NICOLAE MILITARU,  INDEPENDENT
16, GEORGE MUNTEAN,  P.P.R.
