CODU,DENL,DENI,PRAG,CODM,TNC,CODAL
1,THEODOR DUMITRU STOLOJAN,PNL,0,0,1,0
2,ION ILIESCU,PDSR-PUR-PSDR,0,0,1,0
3,TEODOR VIOREL MELESCANU,APR,0,0,1,0
4,PETRE ROMAN,PD,0,0,1,0
5,GYORGY FRUNDA,UDMR,0,0,1,0
6,CORNELIU VADIM TUDOR,PRM,0,0,1,0
7,NICULAE CERVENI,PLDR,0,0,1,0
8,PAUL-PHILIPPE HOHENZOLLERN,PRN,0,0,1,0
9,ION SASU,PSM,0,0,1,0
10,CONSTANTIN MUGUREL ISARESCU,Candidat independent,0,0,1,0
11,GHEORGHE EDUARD MANOLE,Candidat independent,0,0,1,0
12,GRAZIELA-ELENA BIRLA,Candidat independent,0,0,1,0
