NCE,TIPPV,CODU,LOC,NUME,SEX,CODPP,VARSTA
1,1,2,1,PERES A. ALEXANDRU,1,29,52
1,1,2,2,BENDEA A. DUMITRU ADRIAN,1,29,44
1,1,2,3,DUMA V. IOAN,1,35,60
1,1,2,4,GROSU I. GLORIA-CARMEN,2,35,52
1,1,3,1,BOLOGA PETRU,1,3,38
1,1,3,2,VUSDEA CLAUDIA-RODICA,2,3,37
1,1,3,3,BAIES GHEORGHE,1,3,41
1,1,3,4,BRATIMA VIOREL,1,3,53
1,1,21,1,GAVRILA G. IOAN,1,21,81
1,1,21,2,POPA S. AUREL,1,21,86
1,1,21,3,BACIU N. IOANA-MARIA-SIMINA,2,21,67
1,1,21,4,MITROFAN T. TRAIAN,1,21,75
1,1,23,1,DUCULESCU A. CLAUDIU-MARIAN,1,23,43
1,1,23,2,STAN V. CARMEN,2,23,39
1,1,23,3,FORDA I. ONORIU POMPILIU,1,23,64
1,1,23,4,BREAZ S. VALERIA,2,23,67
1,1,24,1,ORIAN I. IULIU-MARIUS,1,24,35
1,1,24,2,MARGINEAN VIOREL,1,24,72
1,1,24,3,GROZA MARIA,2,24,63
1,1,24,4,MARGINEAN VERONICA,2,24,54
1,1,30,1,CAMPEAN A. VASILE,1,30,50
1,1,30,2,IENCIU I. IOAN,1,30,43
1,1,30,3,DAVID P. CARMEN DANA,2,30,36
1,1,30,4,MARZA S. RADU,1,30,49
1,1,31,1,MIRCEA M. RADU DAN,1,31,36
1,1,31,2,PREDESCU F. LUCIAN,1,31,55
1,1,31,3,PETRE D. ANASTASIA,2,31,53
1,1,31,4,ALEXE I. ANTIGONA,2,31,61
1,1,32,1,MITACU G. HORIA CRISTIAN,1,32,49
1,1,32,2,DUMITRU I. DANIELA,2,32,33
1,1,32,3,BURCICA I. PETRUTA,2,32,55
1,1,34,1,FURDUI C. ION,1,34,45
1,1,34,2,IANCU D. ADAM,1,34,42
1,1,34,3,PURCARIU I. ALEXANDRU,1,34,46
1,1,34,4,CIURBA I. DORINA-MARIA,2,34,33
1,1,36,1,ORASEL V. LUCIAN,1,36,59
1,1,36,2,POPA I. IOAN ALIN,1,36,47
1,1,36,3,PLATON TATIANA,2,36,49
1,1,36,4,MICLAUS V. DANIEL MARIUS,1,36,41
1,1,38,1,HRISTEA N. IERONIM,1,38,72
1,1,38,2,CIRA T. CONSTANTIN,1,38,48
1,1,38,3,COSTEA T. ARETA CLAUDIA,2,38,34
1,1,38,4,REPEDE I. IOAN,1,38,56
1,1,41,1,ENE P. CRISTIAN,1,41,36
1,1,41,2,SERB V. DANA MONICA,2,41,46
1,1,41,3,PONORAN V. DORIN,1,41,57
1,1,41,4,BODEA I. IOAN MIRCEA,1,41,42
1,1,43,1,CHITU C. ELENA,2,43,66
1,1,43,2,STOICESCU I. NICOLAE,1,43,42
1,1,44,1,DAN MIRCEA TITUS,1,44,49
1,1,44,2,POPA G. EUFIMIA,2,44,41
1,1,44,3,BESOIU SIMION,1,44,71
1,1,44,4,TOMOZEI CONSTANTIN,1,44,56
1,1,45,1,JECU I. CONSTANTIN,1,45,49
1,1,45,2,DRUMES C. IOSIF,1,45,55
1,1,45,3,ZBORA M. MARCEL,1,45,49
1,1,45,4,MOCIOIU A. ALEXANDRU,1,45,53
1,1,46,1,ISPAS G. GHEORGHE,1,46,46
1,1,49,1,BUNACI A. AVRAM,1,49,51
1,1,49,2,CRISAN V. MONICA-MARIA,2,49,45
1,1,49,3,DARAMUS S. NICOLAE-OCTAVIAN,1,49,52
1,1,49,4,GHITAN N. NICOLAE,1,49,51
1,1,57,1,TOTH I. CSABA-COLOMAN,1,57,52
1,1,57,2,SZÖCS B. ILDICO,2,57,36
1,1,57,3,PÁLOSY F. IANOS,1,57,47
