NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
1,ALBA,0,0,,,0,,0,324766,317446,7320,185858,169148,7320,9390,174813,11038,355873,169458,11950,59836,845,0,96,93,205,92,54,105,136,173,0,98,142,138,0,371,0,2061,573,0,988,634,0,0,0,0,0,2191,903,673,0,926,0,5247,0,3778,0,0,20155,0,934,755,1039,652,0,0,1248,257,278,233,172,0,144,0,8594,103,249,46993,498,52,0,50,99
2,ARAD,0,0,,,0,,0,395958,386675,9283,218037,196242,9154,12641,206045,11871,438097,218994,0,70241,0,0,148,124,47,193,155,111,96,167,0,99,94,119,314,1104,0,1318,407,0,342,672,0,0,0,0,0,1874,1585,195,0,1085,0,7368,0,9440,0,0,30160,0,732,0,1035,628,0,0,0,124,569,245,54,935,152,0,17731,77,118,53597,1833,48,407,77,225
3,ARGES,0,0,,,0,,0,559262,534106,25156,316455,278270,25014,13171,301207,14966,600694,283249,0,95698,356,819,0,0,90,162,129,258,101,155,0,75,125,62,0,0,0,958,0,0,1101,1610,0,0,0,0,0,1429,1880,217,1892,397,0,3920,820,6843,0,0,51678,0,312,429,526,801,0,0,2051,202,234,129,23,0,96,0,674,52,188,123601,861,52,0,76,125
4,BACAU,0,0,,,0,,0,601101,585004,16097,348286,312874,16084,19328,325804,22170,648765,299625,3878,92499,0,1707,296,0,159,184,207,250,175,300,0,71,206,132,362,479,0,2434,453,0,979,1303,0,0,0,0,0,4227,2767,560,1915,2009,0,2486,0,12277,0,0,43146,0,440,841,797,0,0,0,1844,345,503,355,58,0,218,0,1704,139,145,141611,788,89,0,275,191
5,BIHOR,0,0,,,0,,0,506833,495007,11826,285816,257109,11629,17078,270649,15111,560952,275179,0,79332,1147,0,215,169,122,141,164,122,43,126,0,149,44,48,273,651,0,1196,0,0,0,299,0,0,0,0,0,1654,1926,309,0,0,0,5288,888,5502,0,0,32336,0,630,0,1256,0,0,0,1623,112,164,313,68,2078,100,100,62117,98,79,68270,1138,113,95,0,151
6,BISTRITA-NASAUD,0,0,,,0,,0,257846,253025,4821,139532,126747,4749,8036,131883,7606,284980,145472,0,40843,407,0,107,0,82,0,0,97,55,100,0,56,0,0,0,311,0,1348,0,0,325,218,0,0,0,0,0,1081,1132,434,0,0,0,3351,0,2362,0,0,19476,0,173,877,592,462,0,0,1269,172,336,230,53,0,0,0,8554,122,100,45906,1105,35,0,0,112
7,BOTOSANI,0,0,,,0,,0,374452,363546,10906,222984,201323,10752,10909,204263,18578,398582,175691,0,42077,0,574,270,373,468,0,129,130,135,279,0,129,135,288,462,0,0,1000,0,0,556,665,0,0,0,0,0,2335,588,805,1332,1025,0,1592,1401,5105,0,0,31722,0,632,523,2442,330,0,0,1075,227,286,265,160,0,0,0,302,251,164,103295,396,90,0,0,250
8,BRASOV,0,0,,,0,,0,513801,502112,11689,299260,269669,11314,18277,285188,13973,561907,262618,0,120062,358,0,92,71,184,135,80,158,59,379,0,43,319,82,186,1751,0,1693,339,0,1443,424,0,0,0,0,0,3302,2945,141,953,916,0,6085,583,6187,0,0,32981,0,576,383,495,809,0,0,2392,174,161,220,37,0,187,0,22042,80,296,74170,917,59,0,135,104
9,BRAILA,0,0,,,0,,0,320037,310669,9368,201052,183312,9240,8500,187806,13175,353244,152133,1237,52109,658,0,132,84,50,365,76,166,58,138,0,112,117,935,609,0,0,685,674,0,952,754,0,0,0,0,0,912,1872,1109,0,984,0,1793,0,3989,0,0,30361,0,617,1582,1314,371,0,0,0,148,128,285,30,0,0,174,249,129,333,80812,234,132,0,186,151
10,BUZAU,0,0,,,0,,0,421097,406682,14415,253944,221495,14415,18034,234641,19234,452280,198187,0,66581,488,964,0,202,126,86,162,107,94,345,0,61,127,431,0,0,0,1364,566,0,1399,619,0,0,0,0,0,2242,1444,479,0,292,0,2109,0,4474,0,246,29500,0,386,1413,1160,837,0,0,0,339,293,169,116,0,137,0,282,33,49,114263,411,45,0,50,150
