NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
1,ALBA,0,0,,,0,,0,324766,317446,7320,185858,169148,7320,9390,180319,5535,355897,170039,58530,72900,23922,2328,4326,7108,757,572,2635,688,5861,692
2,ARAD,0,0,,,0,,0,395958,386675,9283,218037,196242,9154,12641,211849,6120,437627,218493,62426,87214,27831,2168,4338,13563,514,476,3201,1041,8432,645
3,ARGES,0,0,,,0,,0,559262,534106,25156,316455,278270,25014,13171,308396,7891,600731,282614,136541,98760,52026,4177,6353,254,1028,531,4192,701,3203,630
4,BACAU,0,0,,,0,,0,601101,585004,16097,348286,312874,16084,19328,333544,14603,649030,299819,160432,100172,46028,4939,7458,1431,1200,924,5160,1376,2880,1544
5,BIHOR,0,0,,,0,,0,506833,495007,11826,285816,257109,11629,17078,276900,8888,559975,274182,84596,89036,31061,3132,4625,52739,583,467,2552,1053,6295,761
6,BISTRITA-NASAUD,0,0,,,0,,0,257846,253025,4821,139532,126747,4749,8036,135615,3901,284957,145434,56236,45396,18146,1363,2032,6662,457,354,1452,645,2344,528
7,BOTOSANI,0,0,,,0,,0,374452,363546,10906,222984,201323,10752,10909,213360,9565,399035,176010,124602,44125,30727,2393,4060,224,707,748,1861,891,1605,1417
8,BRASOV,0,0,,,0,,0,513801,502112,11689,299260,269669,11314,18277,291607,7600,560743,261443,87478,134583,32797,3041,3711,16343,952,654,5051,976,5391,630
9,BRAILA,0,0,,,0,,0,320037,310669,9368,201052,183312,9240,8500,193739,7270,353175,152121,94114,54147,31555,2582,3950,229,583,523,3033,616,1410,997
10,BUZAU,0,0,,,0,,0,421097,406682,14415,253944,221495,14415,18034,242958,10949,452405,198336,128739,70076,29385,2252,4477,224,923,563,2820,691,1764,1044
11,CARAS-SEVERIN,0,0,,,0,,0,289779,279892,9887,166817,146797,8884,11136,162847,3804,311345,143841,62450,54908,24299,2392,3697,1050,907,400,2040,615,9429,660
12,CALARASI,0,0,,,0,,0,269989,259357,10632,152364,131458,10632,10274,145376,6902,288761,136436,73206,41254,19467,1477,2727,155,3442,432,1181,583,704,748
13,CLUJ,0,0,,,0,,0,598165,582769,15396,347562,304553,14839,28170,340446,6979,666290,318781,108766,119682,39825,3643,5434,43976,941,771,5675,1486,9474,773
14,CONSTANTA,0,0,,,0,,0,617315,602854,14461,393049,351143,14253,27653,382009,10967,669687,276554,135781,155850,60554,6442,6123,515,1951,1111,7037,1181,4123,1341
15,COVASNA,0,0,,,0,,0,182878,179076,3802,110759,101179,3777,5803,106350,4405,215478,104723,15662,16649,4351,475,485,65853,1359,185,466,348,336,181
16,DAMBOVITA,0,0,,,0,,0,438169,425825,12344,276810,244722,12344,19744,266462,10276,465345,188497,133688,85891,31452,1940,4258,280,928,749,3472,757,1999,1048
17,DOLJ,0,0,,,0,,0,605890,592915,12975,352724,316078,12664,23982,336923,15724,676019,323192,155613,113538,46913,3120,3809,347,1465,960,3832,1357,4618,1351
18,GALATI,0,0,,,0,,0,527070,510403,16667,306155,275630,16644,13881,294189,11917,579393,273250,133763,97799,41666,3871,4586,359,1470,1216,3963,1257,2869,1370
19,GIURGIU,0,0,,,0,,0,239901,230352,9549,140312,120505,9547,10260,134347,5950,258344,118028,77349,32163,16396,1097,2863,138,344,336,1556,517,1092,496
20,GORJ,0,0,,,0,,0,305846,293939,11907,178846,153387,11715,13744,173969,4846,331472,152643,68228,46799,47330,1870,3465,184,437,491,2133,620,1927,485
