NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2
1,ALBA,0,0,,,0,,0,322196,317030,5166,176604,165687,5166,5751,175116,1488,360714,184110,68487,106629
2,ARAD,0,0,,,0,,0,393462,386854,6608,200712,187804,6608,6300,198926,1786,442023,241311,73532,125394
3,ARGES,0,0,,,0,,0,550232,534878,15354,299140,275508,15301,8331,296273,2811,600058,300920,146260,150013
4,BACAU,0,0,,,0,,0,595327,585396,9931,330691,311787,9931,8973,326239,4441,652175,321484,176940,149299
5,BIHOR,0,0,,,0,,0,502159,494814,7345,250334,233542,7343,9449,247883,2451,560379,310040,110658,137225
6,BISTRITA-NASAUD,0,0,,,0,,0,256505,252525,3980,130255,122934,3979,3342,129032,1223,284861,154600,61065,67967
7,BOTOSANI,0,0,,,0,,0,372090,364004,8086,220026,201773,8086,10167,217389,2637,393763,173736,143924,73465
8,BRASOV,0,0,,,0,,0,512624,504393,8231,292123,272414,8203,11506,289863,2198,562513,270438,98789,191074
9,BRAILA,0,0,,,0,,0,318734,311818,6916,188056,175367,6916,5773,186115,1941,353646,165590,103219,82896
10,BUZAU,0,0,,,0,,0,418181,407374,10807,237944,218909,10807,8228,235281,2663,452175,214231,138759,96522
11,CARAS-SEVERIN,0,0,,,0,,0,289536,283494,6042,154567,143103,5927,5537,152969,1574,305338,150785,66491,86478
12,CALARASI,0,0,,,0,,0,266186,258486,7700,138562,128147,7700,2715,136469,2087,288677,150119,76503,59966
13,CLUJ,0,0,,,0,,0,592263,583237,9026,316552,285978,9026,21548,314061,2343,698810,382388,131505,182556
14,CONSTANTA,0,0,,,0,,0,615049,604077,10972,373091,347115,10972,15004,369603,3475,665365,292274,144431,225172
15,COVASNA,0,0,,,0,,0,183858,181547,2311,77006,72405,2309,2292,75993,1013,215466,138460,38686,37307
16,DAMBOVITA,0,0,,,0,,0,436151,426100,10051,263598,246480,10051,7067,260782,2816,469362,205764,144332,116450
17,DOLJ,0,0,,,0,,0,602368,592752,9616,343703,318029,9577,16097,340031,3626,680792,337082,175653,164378
18,GALATI,0,0,,,0,,0,524178,511112,13066,296619,277588,13066,5965,293397,3212,579098,282471,148137,145260
19,GIURGIU,0,0,,,0,,0,236635,229849,6786,132265,122094,6785,3386,130280,1984,257875,125610,83478,46802
20,GORJ,0,0,,,0,,0,303496,296672,6824,161497,149009,6722,5766,159866,1614,331611,170131,74925,84941
21,HARGHITA,0,0,,,0,,0,270210,268026,2184,118339,108790,2184,7365,117015,1322,296694,178355,89594,27421
22,HUNEDOARA,0,0,,,0,,0,417632,409986,7646,233879,216509,7646,9724,231456,2419,461983,228102,116585,114871
23,IALOMITA,0,0,,,0,,0,243561,239355,4206,135482,127342,4206,3934,133512,1970,268738,133255,75252,58260
24,IASI,0,0,,,0,,0,668366,648988,19378,389756,344922,19378,25456,385069,4683,749072,359319,212822,172247
25,ILFOV,0,0,,,0,,0,239323,231272,8051,129835,111520,8043,10272,128135,1686,254806,124971,65852,62283
26,MARAMURES,0,0,,,0,,0,426399,419735,6664,208167,196314,6662,5191,206458,1695,463693,255519,107306,99152
27,MEHEDINTI,0,0,,,0,,0,252600,247217,5383,134530,124153,5383,4994,133294,1231,278385,143860,70317,62977
28,MURES,0,0,,,0,,0,486914,479376,7538,248235,230909,7538,9788,245395,2828,542802,294579,131692,113703
29,NEAMT,0,0,,,0,,0,479007,467229,11778,259995,242720,11767,5508,256813,3113,503844,243900,140517,116296
30,OLT,0,0,,,0,,0,402586,394271,8315,220484,206872,8315,5297,217685,2799,437562,217078,127436,90249
31,PRAHOVA,0,0,,,0,,0,691649,679031,12618,400724,370276,12613,17835,397426,3297,762647,361922,170194,227232
32,SATU MARE,0,0,,,0,,0,317895,309530,8365,124184,111767,8361,4056,122798,1386,347744,223554,75050,47748
33,SALAJ,0,0,,,0,,0,202078,201094,984,103343,97993,984,4366,102359,984,222711,119368,60471,41888
34,SIBIU,0,0,,,0,,0,367768,362254,5514,208110,193404,5441,9265,206438,1660,414667,206560,68142,138296
35,SUCEAVA,0,0,,,0,,0,559092,547355,11737,329558,308023,11716,9819,326134,3416,613791,284224,159994,166140
36,TELEORMAN,0,0,,,0,,0,370692,358940,11752,222638,204219,11752,6667,219697,2941,400309,177671,129924,89773
37,TIMIS,0,0,,,0,,0,590700,577196,13504,303777,274205,13501,16071,301471,2306,660529,356752,102692,198779
38,TULCEA,0,0,,,0,,0,208845,205928,2917,116187,106411,2917,6859,115025,1161,227935,111749,49223,65802
39,VASLUI,0,0,,,0,,0,374822,364000,10822,214225,198386,10822,5017,211394,2831,408825,194600,131699,79695
40,VALCEA,0,0,,,0,,0,348863,338507,10356,204588,181867,10222,12499,202063,2410,384344,179626,110302,91761
41,VRANCEA,0,0,,,0,,0,322548,313156,9392,189666,169607,9392,10667,187427,2239,368170,178504,105238,82189
42,MUNICIPIUL BUCURESTI,0,0,,,0,,0,1783324,1745861,37463,1033215,915775,37431,80009,1025682,7485,2134473,1101234,375444,650238
