NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
1,ALBA,0,0,,,0,,0,324766,317446,7320,185858,169148,7320,9390,174939,10916,355911,170054,0,65280,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,992,1149,0,0,0,0,0,3493,1283,747,0,1891,0,5646,0,4505,0,0,23497,0,992,1469,1210,1482,0,0,1341,0,0,0,0,0,0,0,8656,0,0,48586,861,0,0,0,0
2,ARAD,0,0,,,0,,0,395958,386675,9283,218037,196242,9154,12641,206907,11028,437550,218408,0,70318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,635,1285,0,0,0,0,0,1757,2014,868,0,1247,0,6503,0,7158,0,0,38187,0,444,0,805,1034,0,0,0,0,0,0,0,0,0,0,18025,0,0,54076,2003,0,0,0,0
3,ARGES,0,0,,,0,,0,559262,534106,25156,316455,278270,25014,13171,302059,14028,600756,283423,0,94141,540,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,1774,0,0,0,0,0,1090,2347,426,2893,580,0,3855,1074,7908,0,0,51152,0,600,1166,1268,573,0,0,1396,0,0,0,0,0,0,0,461,0,0,126313,450,0,0,0,0
4,BACAU,0,0,,,0,,0,601101,585004,16097,348286,312874,16084,19328,327693,20303,648111,298984,0,92794,600,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,1345,1291,0,0,0,0,0,4072,3086,1000,2894,2344,0,2844,0,18774,0,0,42636,0,510,1313,1430,0,0,0,2296,0,0,0,0,0,0,0,1823,0,0,143352,961,0,0,0,0
5,BIHOR,0,0,,,0,,0,506833,495007,11826,285816,257109,11629,17078,272166,13607,561011,275230,0,80207,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,1713,2122,652,0,0,0,5730,1128,5685,0,0,33427,0,857,0,1550,0,0,0,1783,0,0,0,0,0,0,0,63178,0,0,71059,1104,0,0,0,0
6,BISTRITA-NASAUD,0,0,,,0,,0,257846,253025,4821,139532,126747,4749,8036,132199,7305,284902,145389,0,41388,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,314,0,0,0,0,0,1335,1175,513,0,0,0,3583,0,2565,0,0,19627,0,270,1424,763,509,0,0,988,0,0,0,0,0,0,0,8358,0,0,47097,1283,0,0,0,0
7,BOTOSANI,0,0,,,0,,0,374452,363546,10906,222984,201323,10752,10909,203864,19046,398995,176050,816,42128,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,0,685,1259,0,0,0,0,0,1840,1133,863,2020,1035,0,1769,710,6056,0,0,32934,0,783,1355,1978,942,0,0,1837,0,0,0,0,0,0,0,366,0,0,100682,498,0,0,0,0
8,BRASOV,0,0,,,0,,0,513801,502112,11689,299260,269669,11314,18277,285224,13917,560245,260983,0,119946,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,1924,853,0,0,0,0,0,3601,3000,256,986,1735,0,5989,0,6024,0,0,32643,0,1025,588,1237,1435,0,0,3250,0,0,0,0,0,0,0,22197,0,0,75569,1457,0,0,0,0
9,BRAILA,0,0,,,0,,0,320037,310669,9368,201052,183312,9240,8500,188402,12537,353011,151964,0,52176,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,1007,1159,0,0,0,0,0,1152,1969,1295,0,1221,0,1836,0,4255,0,0,30998,0,889,1870,1446,618,0,0,0,0,0,0,0,0,0,0,287,0,0,84231,314,0,0,0,0
10,BUZAU,0,0,,,0,,0,421097,406682,14415,253944,221495,14415,18034,236247,17625,452343,198293,0,67472,471,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,1322,660,0,0,0,0,0,2353,1551,743,0,426,0,2162,0,4539,0,269,29748,0,515,1728,1470,1026,0,0,0,0,0,0,0,0,0,0,495,0,0,116863,475,0,0,0,0
